subj,dataset,analysis,split_num,splitA,splitB,condition,pearsonr
humanvshuman,cue-conflict,humanvshuman_splithalves,63,['subject-01' 'subject-03' 'subject-04' 'subject-06' 'subject-09'],['subject-02' 'subject-05' 'subject-07' 'subject-08' 'subject-10'],0,0.7195578109760851
humanvshuman,cue-conflict,humanvshuman_splithalves,64,['subject-01' 'subject-03' 'subject-04' 'subject-06' 'subject-10'],['subject-02' 'subject-05' 'subject-07' 'subject-08' 'subject-09'],0,0.7218522528554964
humanvshuman,cue-conflict,humanvshuman_splithalves,65,['subject-01' 'subject-03' 'subject-04' 'subject-07' 'subject-08'],['subject-02' 'subject-05' 'subject-06' 'subject-09' 'subject-10'],0,0.71518326833788
humanvshuman,cue-conflict,humanvshuman_splithalves,66,['subject-01' 'subject-03' 'subject-04' 'subject-07' 'subject-09'],['subject-02' 'subject-05' 'subject-06' 'subject-08' 'subject-10'],0,0.7237469810657949
humanvshuman,cue-conflict,humanvshuman_splithalves,67,['subject-01' 'subject-03' 'subject-04' 'subject-07' 'subject-10'],['subject-02' 'subject-05' 'subject-06' 'subject-08' 'subject-09'],0,0.7129421480524178
humanvshuman,cue-conflict,humanvshuman_splithalves,68,['subject-01' 'subject-03' 'subject-04' 'subject-08' 'subject-09'],['subject-02' 'subject-05' 'subject-06' 'subject-07' 'subject-10'],0,0.7116314736334843
humanvshuman,cue-conflict,humanvshuman_splithalves,69,['subject-01' 'subject-03' 'subject-04' 'subject-08' 'subject-10'],['subject-02' 'subject-05' 'subject-06' 'subject-07' 'subject-09'],0,0.7159715188988958
humanvshuman,cue-conflict,humanvshuman_splithalves,70,['subject-01' 'subject-03' 'subject-04' 'subject-09' 'subject-10'],['subject-02' 'subject-05' 'subject-06' 'subject-07' 'subject-08'],0,0.7196890387642075
humanvshuman,cue-conflict,humanvshuman_splithalves,71,['subject-01' 'subject-03' 'subject-05' 'subject-06' 'subject-07'],['subject-02' 'subject-04' 'subject-08' 'subject-09' 'subject-10'],0,0.7189274210524306
humanvshuman,cue-conflict,humanvshuman_splithalves,72,['subject-01' 'subject-03' 'subject-05' 'subject-06' 'subject-08'],['subject-02' 'subject-04' 'subject-07' 'subject-09' 'subject-10'],0,0.7332539322627207
humanvshuman,cue-conflict,humanvshuman_splithalves,73,['subject-01' 'subject-03' 'subject-05' 'subject-06' 'subject-09'],['subject-02' 'subject-04' 'subject-07' 'subject-08' 'subject-10'],0,0.7177816567020712
humanvshuman,cue-conflict,humanvshuman_splithalves,74,['subject-01' 'subject-03' 'subject-05' 'subject-06' 'subject-10'],['subject-02' 'subject-04' 'subject-07' 'subject-08' 'subject-09'],0,0.7352738784820367
humanvshuman,cue-conflict,humanvshuman_splithalves,75,['subject-01' 'subject-03' 'subject-05' 'subject-07' 'subject-08'],['subject-02' 'subject-04' 'subject-06' 'subject-09' 'subject-10'],0,0.7304556836071168
humanvshuman,cue-conflict,humanvshuman_splithalves,76,['subject-01' 'subject-03' 'subject-05' 'subject-07' 'subject-09'],['subject-02' 'subject-04' 'subject-06' 'subject-08' 'subject-10'],0,0.7224802312279128
humanvshuman,cue-conflict,humanvshuman_splithalves,77,['subject-01' 'subject-03' 'subject-05' 'subject-07' 'subject-10'],['subject-02' 'subject-04' 'subject-06' 'subject-08' 'subject-09'],0,0.7266738248147139
humanvshuman,cue-conflict,humanvshuman_splithalves,78,['subject-01' 'subject-03' 'subject-05' 'subject-08' 'subject-09'],['subject-02' 'subject-04' 'subject-06' 'subject-07' 'subject-10'],0,0.7270183657879502
humanvshuman,cue-conflict,humanvshuman_splithalves,79,['subject-01' 'subject-03' 'subject-05' 'subject-08' 'subject-10'],['subject-02' 'subject-04' 'subject-06' 'subject-07' 'subject-09'],0,0.7467279538471783
humanvshuman,cue-conflict,humanvshuman_splithalves,80,['subject-01' 'subject-03' 'subject-05' 'subject-09' 'subject-10'],['subject-02' 'subject-04' 'subject-06' 'subject-07' 'subject-08'],0,0.7337809327695111
humanvshuman,cue-conflict,humanvshuman_splithalves,81,['subject-01' 'subject-03' 'subject-06' 'subject-07' 'subject-08'],['subject-02' 'subject-04' 'subject-05' 'subject-09' 'subject-10'],0,0.7246772803018933
humanvshuman,cue-conflict,humanvshuman_splithalves,82,['subject-01' 'subject-03' 'subject-06' 'subject-07' 'subject-09'],['subject-02' 'subject-04' 'subject-05' 'subject-08' 'subject-10'],0,0.7102900033626256
humanvshuman,cue-conflict,humanvshuman_splithalves,83,['subject-01' 'subject-03' 'subject-06' 'subject-07' 'subject-10'],['subject-02' 'subject-04' 'subject-05' 'subject-08' 'subject-09'],0,0.7096836130142251
humanvshuman,cue-conflict,humanvshuman_splithalves,84,['subject-01' 'subject-03' 'subject-06' 'subject-08' 'subject-09'],['subject-02' 'subject-04' 'subject-05' 'subject-07' 'subject-10'],0,0.7258904408897046
humanvshuman,cue-conflict,humanvshuman_splithalves,85,['subject-01' 'subject-03' 'subject-06' 'subject-08' 'subject-10'],['subject-02' 'subject-04' 'subject-05' 'subject-07' 'subject-09'],0,0.7405802026638149
humanvshuman,cue-conflict,humanvshuman_splithalves,86,['subject-01' 'subject-03' 'subject-06' 'subject-09' 'subject-10'],['subject-02' 'subject-04' 'subject-05' 'subject-07' 'subject-08'],0,0.7211528313993241
humanvshuman,cue-conflict,humanvshuman_splithalves,87,['subject-01' 'subject-03' 'subject-07' 'subject-08' 'subject-09'],['subject-02' 'subject-04' 'subject-05' 'subject-06' 'subject-10'],0,0.7246671081812524
humanvshuman,cue-conflict,humanvshuman_splithalves,88,['subject-01' 'subject-03' 'subject-07' 'subject-08' 'subject-10'],['subject-02' 'subject-04' 'subject-05' 'subject-06' 'subject-09'],0,0.7260814415337565
humanvshuman,cue-conflict,humanvshuman_splithalves,89,['subject-01' 'subject-03' 'subject-07' 'subject-09' 'subject-10'],['subject-02' 'subject-04' 'subject-05' 'subject-06' 'subject-08'],0,0.7142416613552627
humanvshuman,cue-conflict,humanvshuman_splithalves,90,['subject-01' 'subject-03' 'subject-08' 'subject-09' 'subject-10'],['subject-02' 'subject-04' 'subject-05' 'subject-06' 'subject-07'],0,0.7354086863044536
humanvshuman,cue-conflict,humanvshuman_splithalves,91,['subject-01' 'subject-04' 'subject-05' 'subject-06' 'subject-07'],['subject-02' 'subject-03' 'subject-08' 'subject-09' 'subject-10'],0,0.7240097350981256
humanvshuman,cue-conflict,humanvshuman_splithalves,92,['subject-01' 'subject-04' 'subject-05' 'subject-06' 'subject-08'],['subject-02' 'subject-03' 'subject-07' 'subject-09' 'subject-10'],0,0.724531246712818
humanvshuman,cue-conflict,humanvshuman_splithalves,93,['subject-01' 'subject-04' 'subject-05' 'subject-06' 'subject-09'],['subject-02' 'subject-03' 'subject-07' 'subject-08' 'subject-10'],0,0.7313880373868447
humanvshuman,cue-conflict,humanvshuman_splithalves,94,['subject-01' 'subject-04' 'subject-05' 'subject-06' 'subject-10'],['subject-02' 'subject-03' 'subject-07' 'subject-08' 'subject-09'],0,0.7346941955573884
humanvshuman,cue-conflict,humanvshuman_splithalves,95,['subject-01' 'subject-04' 'subject-05' 'subject-07' 'subject-08'],['subject-02' 'subject-03' 'subject-06' 'subject-09' 'subject-10'],0,0.7184179704810081
humanvshuman,cue-conflict,humanvshuman_splithalves,96,['subject-01' 'subject-04' 'subject-05' 'subject-07' 'subject-09'],['subject-02' 'subject-03' 'subject-06' 'subject-08' 'subject-10'],0,0.7326468451751458
humanvshuman,cue-conflict,humanvshuman_splithalves,97,['subject-01' 'subject-04' 'subject-05' 'subject-07' 'subject-10'],['subject-02' 'subject-03' 'subject-06' 'subject-08' 'subject-09'],0,0.7227642517687349
